INT int
LPAREN (
COMMA ,
TIMES *
RPAREN )
LBRACE {
EQUALS =
INT_CONST_OCT 0
SEMI ;
PLUS +
IF if
EQ ==
GE >=
RETURN return
ELSE else
RBRACE }
WHILE while
LE <=
FOR for
LT <
LAND &&
PLUSPLUS ++
MINUS -
GT >
LBRACKET [
RBRACKET ]
AND &
MINUSMINUS --
VOID void
BREAK break
UNSIGNED unsigned
CONDOP ?
COLON :
CONST const
RSHIFT >>
LSHIFT <<
NE !=
SIZEOF sizeof
STRUCT struct
PERIOD .
LOR ||
DIVIDE /
CHAR char
CONTINUE continue
PLUSEQUAL +=
LONG long
STATIC static
MOD %
LNOT !
SWITCH switch
CASE case
DEFAULT default
SHORT short
GOTO goto
DO do
DOUBLE double
FLOAT float
TIMESEQUAL *=
NOT ~
MINUSEQUAL -=
ARROW ->
DIVEQUAL /=
TYPEDEF typedef
OR |
INLINE inline
ENUM enum
XOR ^
MODEQUAL %=
LSHIFTEQUAL <<=
RSHIFTEQUAL >>=
ANDEQUAL &=
OREQUAL |=
XOREQUAL ^=
ELLIPSIS ...
